-------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |     Aki     |     fik     | Acc. |        Ei           Ek        |           Lower level           |           Upper level           |Type|
      Wavelength      |   (s^-1)    |             |      |       (eV)         (eV)       |---------------------------------|---------------------------------|    |
       Vac (nm)       |             |             |      |                               | Conf.                 | Term    | Conf.                 | Term    |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
                      |             |             |      |                               |                       |         |                       |         |    |
           80.2859    |             |             |      |                               |                       |         |                       |         |    |
           80.6471    |             |             |      |                               |                       |         |                       |         |    |
           80.6869    |             |             |      |                               |                       |         |                       |         |    |
           80.7218    |             |             |      |                               |                       |         |                       |         |    |
           80.7653    |             |             |      |                               |                       |         |                       |         |    |
                      |             |             |      |                               |                       |         |                       |         |    |
           80.9927    |             |             |      |                               |                       |         |                       |         |    |
           81.6232    |             |             |      |                               |                       |         |                       |         |    |
           81.6464    |             |             |      |                               |                       |         |                       |         |    |
           82.0124    |             |             |      |                               |                       |         |                       |         |    |
           82.5346    |             |             |      |                               |                       |         |                       |         |    |
                      |             |             |      |                               |                       |         |                       |         |    |
           82.6365    |             |             |      |                               |                       |         |                       |         |    |
           83.4392    |             |             |      |                               |                       |         |                       |         |    |
           83.5002    |             |             |      |                               |                       |         |                       |         |    |
           84.2805    |             |             |      |                               |                       |         |                       |         |    |
           86.6800    | 3.13e+08    | 1.06e-01    | C+   |   0.00000000  -   14.3036684  | 3s2.3p6               | 1S      | 3s2.3p5.(2P*<1/2>).3d | 2[3/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
           86.9754    | 3.50e+07    | 1.19e-02    | C    |   0.00000000  -   14.2550856  | 3s2.3p6               | 1S      | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]* |    |
           87.6058    | 2.70e+08    | 9.32e-02    | C+   |   0.00000000  -   14.1525151  | 3s2.3p6               | 1S      | 3s2.3p5.(2P*<3/2>).3d | 2[3/2]* |    |
           87.9947    | 7.7e+07     | 2.7e-02     | C    |   0.00000000  -   14.0899685  | 3s2.3p6               | 1S      | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]* |    |
           89.4310    |             |             |      |   0.00000000  -   13.8636686  | 3s2.3p6               | 1S      | 3s2.3p5.(2P*<3/2>).3d | 2[1/2]* |    |
          104.8220    | 5.32e+08    | 2.629e-01   | AA   |   0.00000000  -   11.82807116 | 3s2.3p6               | 1S      | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          106.6660    | 1.320e+08   | 6.75e-02    | A+   |   0.00000000  -   11.62359272 | 3s2.3p6               | 1S      | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* |    |
          320.129     |             |             |      |                               |                       |         |                       |         |    |
          332.030     |             |             |      |                               |                       |         |                       |         |    |
          337.444     |             |             |      |                               |                       |         |                       |         |    |
          339.470     |             |             |      |                               |                       |         |                       |         |    |
                      |             |             |      |                               |                       |         |                       |         |    |
