-------------------------------------------------------------------------------------------------------------------------------------------------
         Observed         |     Aki      |     fik      | Acc. |             Ei           Ek               |  Lower level  |  Upper level  |Type|
        Wavelength        |    (s^-1)    |              |      |            (eV)         (eV)              |---------------|---------------|    |
         Vac (nm)         |              |              |      |                                           | Conf.  | Term | Conf.  | Term |    |
-------------------------------------------------------------------------------------------------------------------------------------------------
                          |              |              |      |                                           |        |      |        |      |    |
             32.02926     |              |              |      |  [20.96421885051]  -    59.67378          | 1s.2p  | 3P*  | 2p2    | 3P   |    |
             32.02926     |              |              |      |  [20.96409636464]  -    59.67378          | 1s.2p  | 3P*  | 2p2    | 3P   |    |
             32.02926     |              |              |      |  [20.96408688908]  -    59.67378          | 1s.2p  | 3P*  | 2p2    | 3P   |    |
             50.561       |              |              |      |   [0.00000000]     -   [24.527025054182]  | 1s2    | 1S   | 1s.15p | 1P*  |    |
             50.575       |              |              |      |   [0.00000000]     -   [24.518101588364]  | 1s2    | 1S   | 1s.14p | 1P*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
             50.590       |              |              |      |   [0.00000000]     -   [24.507042603098]  | 1s2    | 1S   | 1s.13p | 1P*  |    |
             50.631       |              |              |      |   [0.00000000]     -   [24.493108062951]  | 1s2    | 1S   | 1s.12p | 1P*  |    |
             50.656       |              |              |      |   [0.00000000]     -   [24.475207217946]  | 1s2    | 1S   | 1s.11p | 1P*  |    |
             50.708       | 1.5929e+07   | 1.8420e-03   | AAA  |   [0.00000000]     -   [24.451678459372]  | 1s2    | 1S   | 1s.10p | 1P*  |    |
             50.771       | 2.1826e+07   | 2.5304e-03   | AAA  |   [0.00000000]     -   [24.419889314325]  | 1s2    | 1S   | 1s.9p  | 1P*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
             50.863       | 3.1031e+07   | 3.6108e-03   | AAA  |   [0.00000000]     -   [24.375466697350]  | 1s2    | 1S   | 1s.8p  | 1P*  |    |
             50.997       | 4.6224e+07   | 5.4073e-03   | AAA  |   [0.00000000]     -   [24.31070817873]   | 1s2    | 1S   | 1s.7p  | 1P*  |    |
             51.207       | 7.3174e+07   | 8.6306e-03   | AAA  |   [0.00000000]     -   [24.21100267716]   | 1s2    | 1S   | 1s.6p  | 1P*  |    |
             51.5596      | 1.2582e+08   | 1.5045e-02   | AAA  |   [0.00000000]     -   [24.04580040653]   | 1s2    | 1S   | 1s.5p  | 1P*  |    |
             52.2186      | 2.4356e+08   | 2.9873e-02   | AAA  |   [0.00000000]     -   [23.74207006880]   | 1s2    | 1S   | 1s.4p  | 1P*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
             53.70293     | 5.6634e+08   | 7.3460e-02   | AAA  |   [0.00000000]     -   [23.08701852960]   | 1s2    | 1S   | 1s.3p  | 1P*  |    |
             58.43339     | 1.7989e+09   | 2.7625e-01   | AAA  |   [0.00000000]     -   [21.2180227112]    | 1s2    | 1S   | 1s.2p  | 1P*  |    |
             59.14121     | 1.764e+02    | 2.775e-08    | AA   |   [0.00000000]     -   [20.96409636464]   | 1s2    | 1S   | 1s.2p  | 3P*  |    |
