obs_wl_vac(nm),intens,Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,conf_k,term_k,Type,
"50.708","10","1.5929e+07","1.8420e-03",AAA,"0.00000000","24.451678459372","1s2","1S","1s.10p","1P*",,
"50.771","15","2.1826e+07","2.5304e-03",AAA,"0.00000000","24.419889314325","1s2","1S","1s.9p","1P*",,
"50.863","20","3.1031e+07","3.6108e-03",AAA,"0.00000000","24.375466697350","1s2","1S","1s.8p","1P*",,
"50.997","25","4.6224e+07","5.4073e-03",AAA,"0.00000000","24.31070817873","1s2","1S","1s.7p","1P*",,
"51.207","35","7.3174e+07","8.6306e-03",AAA,"0.00000000","24.21100267716","1s2","1S","1s.6p","1P*",,
"51.5596","50","1.2582e+08","1.5045e-02",AAA,"0.00000000","24.04580040653","1s2","1S","1s.5p","1P*",,
"52.2186","100","2.4356e+08","2.9873e-02",AAA,"0.00000000","23.74207006880","1s2","1S","1s.4p","1P*",,
"53.70293","400","5.6634e+08","7.3460e-02",AAA,"0.00000000","23.08701852960","1s2","1S","1s.3p","1P*",,
"58.43339","1000","1.7989e+09","2.7625e-01",AAA,"0.00000000","21.2180227112","1s2","1S","1s.2p","1P*",,
"59.14121","50","1.764e+02","2.775e-08",AA,"0.00000000","20.96409636464","1s2","1S","1s.2p","3P*",,
"267.7135","1*","4.4174e+05","1.5831e-04",AAA,"19.819614525","24.44947779185","1s.2s","3S","1s.10p","3P*",,
"267.7135","1*","4.4174e+05","4.7492e-04",AAA,"19.819614525","24.44947695951","1s.2s","3S","1s.10p","3P*",,
"267.7135","1*","4.4174e+05","7.9153e-04",AAA,"19.819614525","24.44947689179","1s.2s","3S","1s.10p","3P*",,
"269.6119","1*","6.0234e+05","2.1893e-04",AAA,"19.819614525","24.41687012452","1s.2s","3S","1s.9p","3P*",,
"269.6119","1*","6.0234e+05","6.5680e-04",AAA,"19.819614525","24.41686897915","1s.2s","3S","1s.9p","3P*",,
"269.6119","1*","6.0234e+05","1.0947e-03",AAA,"19.819614525","24.41686888593","1s.2s","3S","1s.9p","3P*",,
"272.3191","1*","8.4996e+05","3.1517e-04",AAA,"19.819614525","24.37116765163","1s.2s","3S","1s.8p","3P*",,
"272.3191","1*","8.4996e+05","9.4552e-04",AAA,"19.819614525","24.37116601407","1s.2s","3S","1s.8p","3P*",,
"272.3191","1*","8.4996e+05","1.5759e-03",AAA,"19.819614525","24.37116588077","1s.2s","3S","1s.8p","3P*",,
"294.5106","10*","3.2006e+06","1.3881e-03",AAA,"19.819614525","24.0282324989","1s.2s","3S","1s.5p","3P*",,
"294.5106","10*","3.2006e+06","4.1643e-03",AAA,"19.819614525","24.0282256244","1s.2s","3S","1s.5p","3P*",,
"294.5106","10*","3.2006e+06","6.9405e-03",AAA,"19.819614525","24.0282250640","1s.2s","3S","1s.5p","3P*",,
"318.7745","20*","5.6361e+06","8.5912e-03",AAA,"19.819614525","23.7078923433","1s.2s","3S","1s.4p","3P*",,
"318.7745","20*","5.6361e+06","1.4319e-02",AAA,"19.819614525","23.7078912279","1s.2s","3S","1s.4p","3P*",,
"323.1266","0","5.1015e+05","2.3970e-03",AAA,"20.615774823","24.451678459372","1s.2s","1S","1s.10p","1P*",,
"325.8275","1","6.9627e+05","3.3265e-03",AAA,"20.615774823","24.419889314325","1s.2s","1S","1s.9p","1P*",,
"355.4415","1*","3.6386e+04","4.1374e-05",AAA,"20.96408688908","24.451273968544","1s.2p","3P*","1s.10d","3D",,
"355.4415","1*","3.2745e+05","6.2056e-04",AAA,"20.96408688908","24.451273822448","1s.2p","3P*","1s.10d","3D",,
"355.4415","1*","1.3099e+05","3.4754e-04",AAA,"20.96408688908","24.451273812052","1s.2p","3P*","1s.10d","3D",,
"355.4415","1*","5.4579e+05","1.0343e-03",AAA,"20.96409636464","24.451273968544","1s.2p","3P*","1s.10d","3D",,
"355.4415","1*","9.8235e+05","3.1028e-03",AAA,"20.96409636464","24.451273822448","1s.2p","3P*","1s.10d","3D",,
"356.2979","0*","2.6868e+05","3.0698e-04",AAA,"20.96408688908","24.44289339729","1s.2p","3P*","1s.10s","3S",,
"356.2979","0*","1.6121e+05","3.0699e-04",AAA,"20.96409636464","24.44289339729","1s.2p","3P*","1s.10s","3S",,
"358.7270","1*","5.0298e+04","5.8255e-05",AAA,"20.96408688908","24.419335779720","1s.2p","3P*","1s.9d","3D",,
